422; 257
419; 235
413; 224
405; 209
398; 192
389; 179
377; 166
365; 153
347; 144
330; 138
314; 135
297; 137
279; 144
263; 154
249; 166
238; 177
229; 192
219; 207
214; 221
211; 234
210; 250
209; 266
212; 281
214; 297
216; 313
221; 328
221; 346
227; 357
234; 367
238; 382
243; 391
251; 399
258; 408
265; 412
271; 420
276; 426
283; 431
288; 437
293; 441
297; 448
302; 451
309; 450
316; 453
324; 452
335; 449
344; 447
353; 443
362; 441
368; 439
374; 437
380; 432
385; 428
389; 423
392; 420
394; 417
395; 413
397; 407
399; 401
402; 394
404; 387
407; 381
414; 353
