195; 424
218; 401
230; 394
242; 389
255; 381
266; 372
275; 365
283; 356
289; 348
295; 339
301; 329
308; 319
315; 308
323; 299
331; 292
339; 284
347; 275
354; 266
361; 256
369; 242
378; 230
385; 218
395; 202
405; 188
416; 173
424; 158
429; 144
430; 129
427; 114
423; 100
416; 86
406; 74
397; 65
386; 57
375; 53
366; 53
353; 51
340; 52
327; 59
316; 65
308; 77
303; 91
298; 107
297; 126
295; 144
295; 158
297; 174
302; 186
307; 202
312; 215
319; 229
325; 239
332; 248
338; 261
344; 273
350; 280
357; 284
364; 294
370; 303
376; 308
380; 313
386; 317
391; 328
395; 336
424; 372
