559; 90
526; 102
518; 115
507; 130
493; 147
483; 162
470; 179
459; 192
447; 205
434; 218
420; 232
408; 245
397; 258
388; 271
381; 284
374; 298
368; 308
363; 318
356; 326
348; 335
339; 345
329; 352
319; 359
310; 368
301; 373
291; 381
280; 387
270; 392
256; 399
243; 399
232; 394
221; 388
211; 376
204; 364
198; 351
196; 337
197; 323
201; 309
209; 294
221; 281
233; 270
247; 262
263; 258
278; 256
294; 257
309; 263
324; 271
341; 278
357; 287
370; 298
383; 306
394; 314
407; 324
420; 334
430; 350
442; 364
457; 373
476; 379
492; 387
503; 395
515; 400
519; 404
