484; 202
445; 208
434; 205
425; 205
413; 205
402; 205
390; 204
376; 205
362; 206
345; 203
329; 203
311; 201
294; 201
277; 200
262; 197
251; 199
243; 195
237; 195
231; 196
228; 197
228; 199
232; 198
243; 203
253; 210
267; 213
283; 217
300; 233
316; 235
335; 242
354; 246
370; 253
385; 259
394; 259
399; 260
401; 257
397; 261
392; 262
383; 264
373; 266
363; 268
351; 279
339; 294
322; 313
302; 342
282; 356
260; 360
244; 367
231; 374
225; 372
223; 373
224; 374
229; 371
239; 370
254; 361
272; 356
294; 353
318; 357
338; 361
358; 356
380; 360
400; 366
415; 372
428; 373
436; 375
439; 380
439; 385
425; 381
