499; 235
464; 239
448; 240
431; 241
413; 239
394; 239
373; 237
352; 234
330; 230
310; 227
288; 227
267; 225
248; 224
226; 227
205; 226
181; 229
161; 230
144; 232
131; 233
123; 231
121; 230
126; 227
134; 223
147; 220
162; 216
177; 214
193; 217
208; 216
222; 221
236; 222
248; 222
258; 223
267; 224
274; 226
280; 226
283; 224
287; 220
290; 218
295; 217
298; 219
296; 224
292; 234
284; 260
280; 272
275; 292
274; 311
273; 315
269; 332
267; 346
265; 367
261; 392
264; 415
266; 438
268; 456
271; 467
272; 475
275; 482
278; 492
281; 505
281; 509
280; 508
276; 476
