87; 590
112; 551
131; 524
147; 492
159; 470
171; 444
186; 414
193; 395
203; 370
210; 356
215; 336
219; 321
223; 308
226; 295
228; 294
229; 291
231; 289
233; 287
235; 288
238; 292
242; 298
246; 312
250; 336
256; 353
262; 375
268; 403
271; 425
272; 441
274; 453
274; 464
275; 465
276; 465
277; 460
277; 451
278; 450
281; 444
283; 443
285; 436
289; 423
294; 403
299; 376
304; 356
307; 334
310; 314
312; 302
313; 283
314; 277
315; 270
316; 266
317; 269
319; 267
321; 273
323; 274
325; 283
330; 300
335; 311
339; 333
347; 349
353; 365
362; 389
367; 405
373; 436
380; 467
385; 481
392; 494
397; 502
401; 512
403; 523
404; 532
406; 538
407; 538
409; 530
