1;0,6990451;-0,5356966;-0,4678346;0,04608722;
2;0,7069021;-0,521735;-0,4714844;0,04910933;
3;0,7065355;-0,5140759;-0,4805624;0,04712165;
4;0,7129144;-0,4975026;-0,488553;0,04677847;
5;0,7161957;-0,4930592;-0,4868748;0,05947172;
6;0,7180023;-0,5060585;-0,4680132;0,0772562;
7;0,7032638;-0,5611413;-0,3991562;0,1668609;
8;0,6695553;-0,6228982;-0,2919348;0,2740347;
9;0,6361859;-0,6679199;-0,2236005;0,3094848;
10;0,6008824;-0,7239757;-0,1569744;0,2945962;
11;0,5847823;-0,7510014;-0,1398192;0,266654;
12;0,6332217;-0,7278112;-0,1993499;0,1618907;
13;0,7199233;-0,6113903;-0,3232707;0,005948452;
14;0,7592509;-0,4993625;-0,4041433;-0,08643852;
15;0,7782235;-0,4425327;-0,4270836;-0,1129634;
16;0,7864127;-0,4419796;-0,4244148;-0,05204999;
17;0,7729293;-0,5230107;-0,3492761;0,06061181;
18;0,7458295;-0,5797371;-0,2770417;0,165888;
19;0,723998;-0,624177;-0,1885467;0,2175043;
20;0,7303021;-0,6257333;-0,16581;0,2103596;
21;0,7486756;-0,6125166;-0,2140741;0,1229137;
22;0,7827393;-0,5572961;-0,2707298;-0,008598129;
23;0,804347;-0,4913481;-0,3083028;-0,1148062;
24;0,8071543;-0,4569882;-0,3393544;-0,1453628;
25;0,8154156;-0,4453565;-0,3511747;-0,1002969;
26;0,8132631;-0,4747272;-0,3314553;-0,00168494;
27;0,7869185;-0,5348975;-0,2741058;0,1270331;
28;0,7423154;-0,5966456;-0,1965482;0,2257831;
29;0,7185405;-0,6262303;-0,1251729;0,2692479;
30;0,7273518;-0,6190895;-0,1109576;0,2683353;
31;0,730741;-0,6224815;-0,1382842;0,2367252;
32;0,7533854;-0,610873;-0,1827509;0,1499139;
33;0,778146;-0,5769334;-0,2373756;0,04378726;
34;0,7979424;-0,5234876;-0,2886532;-0,05055462;
35;0,7968997;-0,4947407;-0,3303117;-0,0877773;
36;0,7836583;-0,499228;-0,3553715;-0,08360486;
37;0,7703714;-0,5119199;-0,3683422;-0,07360536;
38;0,7577071;-0,5293203;-0,3736776;-0,05189462;
39;0,760143;-0,5239682;-0,3790765;-0,02384961;
40;0,7576848;-0,5235881;-0,3850979;-0,009861978;
